# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	78429	80402	+					Y73B3A.16	190634	CELE_Y73B3A.16	1974		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	78429	80402	+					Y73B3A.16	190634	CELE_Y73B3A.16	862		pseudo;pseudogene
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	84041	94978	-					Y73B3A.3	180380	CELE_Y73B3A.3	10938		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	84041	94978	-					Y73B3A.3	180380	CELE_Y73B3A.3	3539		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	84041	94978	-					Y73B3A.3	180380	CELE_Y73B3A.3	3548		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	84041	93664	-					Y73B3A.3	180380	CELE_Y73B3A.3	3269		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	84041	93664	-					Y73B3A.3	180380	CELE_Y73B3A.3	3278		pseudo;pseudogene
gene	tRNA_pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	86887	86958	+					Y73B3A.t1	13219026	CELE_Y73B3A.t1	72		pseudo
tRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	86887	86958	+					Y73B3A.t1	13219026	CELE_Y73B3A.t1	72		pseudo;pseudogene
gene	ncRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	87472	87536	+					Y73B3A.28	13219027	CELE_Y73B3A.28	65		
gene	ncRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	87472	87536	-					Y73B3A.25	13219028	CELE_Y73B3A.25	65		
ncRNA	other	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	87472	87536	+	NR_070314.1			Unclassified non-coding RNA Y73B3A.28	Y73B3A.28	13219027	CELE_Y73B3A.28	65	65	
ncRNA	other	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	87472	87536	-	NR_070315.1			Unclassified non-coding RNA Y73B3A.25	Y73B3A.25	13219028	CELE_Y73B3A.25	65	65	
gene	ncRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	90282	90420	+					Y73B3A.24	13219029	CELE_Y73B3A.24	139		
ncRNA	other	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	90282	90420	+	NR_070316.1			Unclassified non-coding RNA Y73B3A.24	Y73B3A.24	13219029	CELE_Y73B3A.24	139	139	
gene	ncRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	90587	90633	+					Y73B3A.27	13219030	CELE_Y73B3A.27	47		
gene	ncRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	90587	90633	-					Y73B3A.26	13219031	CELE_Y73B3A.26	47		
ncRNA	other	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	90587	90633	+	NR_070317.1			Unclassified non-coding RNA Y73B3A.27	Y73B3A.27	13219030	CELE_Y73B3A.27	47	47	
ncRNA	other	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	90587	90633	-	NR_070318.1			Unclassified non-coding RNA Y73B3A.26	Y73B3A.26	13219031	CELE_Y73B3A.26	47	47	
gene	ncRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	93163	93299	-					Y73B3A.29	13219032	CELE_Y73B3A.29	137		
ncRNA	other	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	93163	93299	-	NR_070319.1			Unclassified non-coding RNA Y73B3A.29	Y73B3A.29	13219032	CELE_Y73B3A.29	137	137	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	95614	104777	-					Y73B3A.4	190622	CELE_Y73B3A.4	9164		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	95614	104777	-	NM_075672.3		NP_508073.1	Uncharacterized protein	Y73B3A.4	190622	CELE_Y73B3A.4	2453	2453	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	96342	104762	-	NP_508073.1		NM_075672.3	Uncharacterized protein	Y73B3A.4	190622	CELE_Y73B3A.4	1710	569	
gene	ncRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	97551	97962	-					Y73B3A.33	54162552	CELE_Y73B3A.33	412		
ncRNA	other	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	97551	97962	-	NR_167583.1			Unclassified non-coding RNA Y73B3A.33	Y73B3A.33	54162552	CELE_Y73B3A.33	412	412	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	106971	109029	-					elk-2	190623	CELE_Y73B3A.5	2059		partial
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	106971	109029	-	NM_001374929.1		NP_001362039.1	ELK transcription factor homolog	elk-2	190623	CELE_Y73B3A.5	735	735	partial
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	106971	109029	-	NP_001362039.1		NM_001374929.1	ELK transcription factor homolog	elk-2	190623	CELE_Y73B3A.5	735	244	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	114700	116814	+					fbxa-221	190633	CELE_Y73B3A.15	2115		partial
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	114700	116814	+	NM_001374930.1		NP_001362042.1	F-box domain-containing protein	fbxa-221	190633	CELE_Y73B3A.15	1428	1428	partial
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	114700	116814	+	NP_001362042.1		NM_001374930.1	F-box domain-containing protein	fbxa-221	190633	CELE_Y73B3A.15	1428	475	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	117380	119218	+					fbxa-222	6418873	CELE_Y73B3A.22	1839		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	117380	119218	+	NM_001374931.2		NP_001362041.1	F-box domain-containing protein	fbxa-222	6418873	CELE_Y73B3A.22	1044	1044	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	117388	118989	+	NP_001362041.1		NM_001374931.2	F-box domain-containing protein	fbxa-222	6418873	CELE_Y73B3A.22	807	268	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	119663	122279	+					fbxa-16	190632	CELE_Y73B3A.14	2617		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	119663	122279	+	NM_075669.4		NP_508070.2	F-box A protein	fbxa-16	190632	CELE_Y73B3A.14	1162	1162	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	119803	120351	+	NP_508070.2		NM_075669.4	F-box A protein	fbxa-16	190632	CELE_Y73B3A.14	189	62	
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	131022	132691	+					Y73B3A.13	190631	CELE_Y73B3A.13	1670		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	131022	132691	+					Y73B3A.13	190631	CELE_Y73B3A.13	1321		pseudo;pseudogene
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	135015	136061	+					Y73B3A.32	42101360	CELE_Y73B3A.32	1047		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	135015	136061	+					Y73B3A.32	42101360	CELE_Y73B3A.32	585		pseudo;pseudogene
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	137029	138075	-					Y73B3A.7	190625	CELE_Y73B3A.7	1047		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	137029	138075	-					Y73B3A.7	190625	CELE_Y73B3A.7	585		pseudo;pseudogene
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	138880	139626	+					cal-6	190630	CELE_Y73B3A.12	747		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	138880	139626	+					cal-6	190630	CELE_Y73B3A.12	463		pseudo;pseudogene
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	140442	141249	-					Y73B3A.8	190626	CELE_Y73B3A.8	808		partial
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	140442	141249	-	NM_075664.2		NP_508065.2	Uncharacterized protein	Y73B3A.8	190626	CELE_Y73B3A.8	447	447	partial
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	140442	141249	-	NP_508065.2		NM_075664.2	Uncharacterized protein	Y73B3A.8	190626	CELE_Y73B3A.8	447	148	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	148124	149166	+					Y73B3A.11	190629	CELE_Y73B3A.11	1043		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	148124	149166	+	NM_001374932.2		NP_001362040.1	Uncharacterized protein	Y73B3A.11	190629	CELE_Y73B3A.11	841	841	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	148304	148812	+	NP_001362040.1		NM_001374932.2	Uncharacterized protein	Y73B3A.11	190629	CELE_Y73B3A.11	354	117	
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	150363	157246	-					Y73B3A.9	190627	CELE_Y73B3A.9	6884		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	150363	157246	-					Y73B3A.9	190627	CELE_Y73B3A.9	2970		pseudo;pseudogene
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	159638	160920	-					T08D2.9	13218962	CELE_T08D2.9	1283		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	159638	160920	-					T08D2.9	13218962	CELE_T08D2.9	633		pseudo;pseudogene
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	162529	163134	-					tmed-12	188279	CELE_T08D2.1	606		partial
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	162529	163134	-	NM_075653.1		NP_508054.1	GOLD domain-containing protein	tmed-12	188279	CELE_T08D2.1	504	504	partial
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	162529	163134	-	NP_508054.1		NM_075653.1	GOLD domain-containing protein	tmed-12	188279	CELE_T08D2.1	504	167	
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	164036	171839	+					T08D2.2	188280	CELE_T08D2.2	7804		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	164036	171839	+					T08D2.2	188280	CELE_T08D2.2	1244		pseudo;pseudogene
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	173180	177000	+					T08D2.3	188281	CELE_T08D2.3	3821		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	173180	177000	+					T08D2.3	188281	CELE_T08D2.3	3415		pseudo;pseudogene
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	177375	179395	+					T08D2.5	188283	CELE_T08D2.5	2021		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	177375	179395	+	NM_001383514.1		NP_001370861.1	Uncharacterized protein	T08D2.5	188283	CELE_T08D2.5	1392	1392	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	177396	177856	+					T08D2.4	188282	CELE_T08D2.4	461		partial
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	177396	177856	+	NM_075656.4		NP_508057.2	RING-type domain-containing protein	T08D2.4	188282	CELE_T08D2.4	290	290	partial
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	177396	177854	+	NP_508057.2		NM_075656.4	RING-type domain-containing protein	T08D2.4	188282	CELE_T08D2.4	288	95	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	178242	179376	+	NP_001370861.1		NM_001383514.1	Uncharacterized protein	T08D2.5	188283	CELE_T08D2.5	978	325	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	179318	182175	-					T08D2.6	188284	CELE_T08D2.6	2858		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	179318	182175	-	NM_001383515.1		NP_001370862.1	Uncharacterized protein	T08D2.6	188284	CELE_T08D2.6	1165	1165	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	180080	181874	-	NP_001370862.1		NM_001383515.1	Uncharacterized protein	T08D2.6	188284	CELE_T08D2.6	210	69	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	182691	191193	+					T08D2.7	191613	CELE_T08D2.7	8503		partial
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	182691	191193	+	NM_075659.2		NP_508060.1	Uncharacterized protein	T08D2.7	191613	CELE_T08D2.7	1451	1451	partial
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	182691	190559	+	NP_508060.1		NM_075659.2	Uncharacterized protein	T08D2.7	191613	CELE_T08D2.7	1410	469	
gene	ncRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	191796	191816	-					T08D2.10	13218970	CELE_T08D2.10	21		
ncRNA	other	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	191796	191816	-	NR_070320.1			Unclassified non-coding RNA T08D2.10	T08D2.10	13218970	CELE_T08D2.10	21	21	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	192834	197901	+					T08D2.8	353486	CELE_T08D2.8	5068		partial
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	192834	197901	+	NM_001380889.2		NP_001368073.1	TOG domain-containing protein	T08D2.8	353486	CELE_T08D2.8	1738	1738	partial
gene	snoRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	194061	194282	+					T08D2.11	24104864	CELE_T08D2.11	222		
ncRNA	snoRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	194061	194282	+	NR_102141.1			small nucleolar RNA T08D2.11	T08D2.11	24104864	CELE_T08D2.11	222	222	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	194448	197901	+	NP_001368073.1		NM_001380889.2	TOG domain-containing protein	T08D2.8	353486	CELE_T08D2.8	1167	388	
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	199262	207723	+					Y73B3B.5	190643	CELE_Y73B3B.5	8462		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	199262	207723	+					Y73B3B.5	190643	CELE_Y73B3B.5	1725		pseudo;pseudogene
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	209108	211241	-					Y73B3B.1	190640	CELE_Y73B3B.1	2134		partial
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	209108	211241	-	NM_075650.3		NP_508051.1	Calponin-homology (CH) domain-containing protein	Y73B3B.1	190640	CELE_Y73B3B.1	1131	1131	partial
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	209108	211241	-	NP_508051.1		NM_075650.3	Calponin-homology (CH) domain-containing protein	Y73B3B.1	190640	CELE_Y73B3B.1	1131	376	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	209995	211781	+					Y73B3B.3	190642	CELE_Y73B3B.3	1787		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	209995	211781	+	NM_075649.2		NP_508050.1	Uncharacterized protein	Y73B3B.3	190642	CELE_Y73B3B.3	1694	1694	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	211441	211676	+	NP_508050.1		NM_075649.2	Uncharacterized protein	Y73B3B.3	190642	CELE_Y73B3B.3	186	61	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	214580	215588	-					set-28	190641	CELE_Y73B3B.2	1009		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	214580	215588	-	NM_075648.2		NP_508049.1	SET domain-containing protein	set-28	190641	CELE_Y73B3B.2	853	853	
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	214697	215575	-	NP_508049.1		NM_075648.2	SET domain-containing protein	set-28	190641	CELE_Y73B3B.2	723	240	
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	217008	217496	-					AC8.6	181806	CELE_AC8.6	489		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	217008	217496	-					AC8.6	181806	CELE_AC8.6	441		pseudo;pseudogene
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	221017	225084	+					AC8.5	181805	CELE_AC8.5	4068		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	221017	225084	+					AC8.5	181805	CELE_AC8.5	1176		pseudo;pseudogene
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	226228	239162	-					AC8.11	3565009	CELE_AC8.11	12935		
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	226228	239162	-	NM_001383517.1		NP_001370291.1	Uncharacterized protein	AC8.11	3565009	CELE_AC8.11	5640	5640	
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	226651	227394	-					AC8.4	180378	CELE_AC8.4	744		partial
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	226651	227394	-	NM_075642.1		NP_508043.1	Uncharacterized protein	AC8.4	180378	CELE_AC8.4	654	654	partial
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	226651	227394	-	NP_508043.1		NM_075642.1	Uncharacterized protein	AC8.4	180378	CELE_AC8.4	654	217	
gene	miRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	227953	228048	+					mir-258.2	3565084	CELE_AC8.13	96		
precursor_RNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	227953	228048	+	NR_002341.2			pre-microRNA mir-258.2	mir-258.2	3565084	CELE_AC8.13	96	96	
ncRNA	miRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	227958	227978	+				microRNA mir-258.2,a	mir-258.2	3565084	CELE_AC8.13	21		
gene	protein_coding	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	228080	229474	-					AC8.3	3564787	CELE_AC8.3	1395		partial
mRNA		GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	228080	229474	-	NM_001373213.1		NP_001359777.1	Uncharacterized protein	AC8.3	3564787	CELE_AC8.3	1125	1125	partial
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	228080	229474	-	NP_001359777.1		NM_001373213.1	Uncharacterized protein	AC8.3	3564787	CELE_AC8.3	1125	374	
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	230433	231365	+					AC8.7	180377	CELE_AC8.7	933		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	230433	231365	+					AC8.7	180377	CELE_AC8.7	744		pseudo;pseudogene
gene	pseudogene	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	232875	233777	-					AC8.9	13218982	CELE_AC8.9	903		pseudo;pseudogene
CDS	without_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	232875	233777	-					AC8.9	13218982	CELE_AC8.9	527		pseudo;pseudogene
CDS	with_protein	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	236067	236810	-	NP_001370291.1		NM_001383517.1	Uncharacterized protein	AC8.11	3565009	CELE_AC8.11	654	217	
gene	miRNA	GCF_000002985.6	Primary Assembly	chromosome	X	NC_003284.9	237369	237464	+					mir-258.1	3565828	CELE_AC8.8	96		
