# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	16831	17781	+							THEMA_00090	951		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	16831	17781	+	AHD17338.1			flagellar biosynthetic protein FlhB			THEMA_00090	951	316	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	17778	19814	+					flhA		THEMA_00095	2037		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	17778	19814	+	AHD17339.1			flagellar biosynthesis protein FlhA	flhA		THEMA_00095	2037	678	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	19811	20947	+							THEMA_00100	1137		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	19811	20947	+	AHD17340.1			flagellar biosynthesis regulator FlhF			THEMA_00100	1137	378	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	20913	21740	+							THEMA_00105	828		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	20913	21740	+	AHD17341.1			cobyrinic acid ac-diamide synthase			THEMA_00105	828	275	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	21747	22436	+							THEMA_00110	690		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	21747	22436	+	AHD17342.1			pilus assembly protein PilZ			THEMA_00110	690	229	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	22433	23050	+							THEMA_00115	618		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	22433	23050	+	AHD17343.1			chemotaxis protein CheY			THEMA_00115	618	205	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	23047	23520	+							THEMA_00120	474		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	23047	23520	+	AHD17344.1			chemotaxis protein CheD			THEMA_00120	474	157	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	23520	24182	+							THEMA_00125	663		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	23520	24182	+	AHD17345.1			RNA polymerase sigma70			THEMA_00125	663	220	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	24166	24471	+							THEMA_00130	306		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	24166	24471	+	AHD17346.1			hypothetical protein			THEMA_00130	306	101	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	24468	24950	+							THEMA_00135	483		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	24468	24950	+	AHD17347.1			hypothetical protein			THEMA_00135	483	160	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	24935	25600	+							THEMA_00140	666		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	24935	25600	+	AHD17348.1			hypothetical protein			THEMA_00140	666	221	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	25584	25814	-							THEMA_00145	231		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	25584	25814	-	AHD17349.1			hypothetical protein			THEMA_00145	231	76	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	25814	26089	-							THEMA_00150	276		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	25814	26089	-	AHD17350.1			stage V sporulation protein S			THEMA_00150	276	91	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	26153	27163	-							THEMA_00155	1011		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	26153	27163	-	AHD17351.1			galactose-1-phosphate uridylyltransferase			THEMA_00155	1011	336	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	27168	28628	-							THEMA_00160	1461		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	27168	28628	-	AHD17352.1			glycogen synthase			THEMA_00160	1461	486	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	28625	29254	-							THEMA_00165	630		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	28625	29254	-	AHD17353.1			beta-lactamase			THEMA_00165	630	209	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	29261	29974	-							THEMA_00170	714		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	29261	29974	-	AHD17354.1			UDP-diphosphatase			THEMA_00170	714	237	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	29976	30581	-							THEMA_00175	606		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	29976	30581	-	AHD17355.1			hypothetical protein			THEMA_00175	606	201	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	30578	31612	-							THEMA_00180	1035		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	30578	31612	-	AHD17356.1			4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase			THEMA_00180	1035	344	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	31609	33114	-							THEMA_00185	1506		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	31609	33114	-	AHD17357.1			zinc protease			THEMA_00185	1506	501	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	33090	34220	-							THEMA_00190	1131		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	33090	34220	-	AHD17358.1			1-deoxy-D-xylulose 5-phosphate reductoisomerase			THEMA_00190	1131	376	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	34199	34807	-							THEMA_00195	609		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	34199	34807	-	AHD17359.1			thiamine pyrophosphokinase			THEMA_00195	609	202	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	34863	35282	+							THEMA_00200	420		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	34863	35282	+	AHD17360.1			methylated-DNA-protein-cysteine methyltransferase			THEMA_00200	420	139	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	35279	37210	+							THEMA_00205	1932		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	35279	37210	+	AHD17361.1			penicillin-binding protein			THEMA_00205	1932	643	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	37214	37771	+							THEMA_00210	558		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	37214	37771	+	AHD17362.1			hypothetical protein			THEMA_00210	558	185	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	37737	39080	-							THEMA_00215	1344		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	37737	39080	-	AHD17363.1			radical SAM protein			THEMA_00215	1344	447	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	39077	39817	-							THEMA_00220	741		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	39077	39817	-	AHD17364.1			pantothenate kinase			THEMA_00220	741	246	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	39953	41245	+							THEMA_00225	1293		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	39953	41245	+	AHD17365.1			O-acetylhomoserine aminocarboxypropyltransferase			THEMA_00225	1293	430	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	41250	42164	+							THEMA_00230	915		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	41250	42164	+	AHD17366.1			homoserine O-succinyltransferase			THEMA_00230	915	304	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	42246	43364	+							THEMA_00235	1119		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	42246	43364	+	AHD17367.1			glutaconyl-CoA decarboxylase subunit beta			THEMA_00235	1119	372	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	43376	43573	+							THEMA_00240	198		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	43376	43573	+	AHD17368.1			ferredoxin			THEMA_00240	198	65	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	43566	44720	+							THEMA_00245	1155		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	43566	44720	+	AHD17369.1			2-oxoglutarate ferredoxin oxidoreductase subunit alpha			THEMA_00245	1155	384	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	44776	46065	+					eno		THEMA_00250	1290		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	44776	46065	+	AHD17370.1			enolase	eno		THEMA_00250	1290	429	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	46116	47036	+							THEMA_00255	921		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	46116	47036	+	AHD17371.1			cation diffusion facilitator family transporter			THEMA_00255	921	306	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	47033	47509	+							THEMA_00260	477		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	47033	47509	+	AHD17372.1			hypothetical protein			THEMA_00260	477	158	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	47519	48139	+							THEMA_00265	621		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	47519	48139	+	AHD17373.1			peptidase M22			THEMA_00265	621	206	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	48146	50524	-							THEMA_00270	2379		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	48146	50524	-	AHD17374.1			ATP-dependent Clp protease ATP-binding protein			THEMA_00270	2379	792	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	50779	51678	+							THEMA_00275	900		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	50779	51678	+	AHD17375.1			16S rRNA methyltransferase			THEMA_00275	900	299	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	51791	51934	+							THEMA_00280	144		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	51791	51934	+	AHD17376.1			hypothetical protein			THEMA_00280	144	47	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	51944	53695	+							THEMA_00285	1752		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	51944	53695	+	AHD17377.1			penicillin-binding protein 2			THEMA_00285	1752	583	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	53686	54639	-							THEMA_00290	954		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	53686	54639	-	AHD17378.1			thioredoxin reductase			THEMA_00290	954	317	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	54646	55311	-							THEMA_00295	666		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	54646	55311	-	AHD17379.1			glutaredoxin			THEMA_00295	666	221	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	55341	55823	-							THEMA_00300	483		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	55341	55823	-	AHD17380.1			hypothetical protein			THEMA_00300	483	160	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	55820	56737	-							THEMA_00305	918		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	55820	56737	-	AHD17381.1			hypothetical protein			THEMA_00305	918	305	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	56751	57173	-							THEMA_00310	423		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	56751	57173	-	AHD17382.1			nodulation efficiency protein D (NfeD)			THEMA_00310	423	140	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	57186	58028	-							THEMA_00315	843		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	57186	58028	-	AHD17383.1			beta-lactamase			THEMA_00315	843	280	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	58025	58474	-							THEMA_00320	450		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	58025	58474	-	AHD17384.1			50S ribosomal protein L9			THEMA_00320	450	149	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	58557	59624	+							THEMA_00325	1068		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	58557	59624	+	AHD17385.1			glucose-1-phosphate thymidylyltransferase			THEMA_00325	1068	355	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	59648	60529	-							THEMA_00330	882		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	59648	60529	-	AHD17386.1			preprotein translocase subunit SecF			THEMA_00330	882	293	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	60526	61923	-							THEMA_00335	1398		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	60526	61923	-	AHD17387.1			preprotein translocase subunit SecD			THEMA_00335	1398	465	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	61927	62277	-							THEMA_00340	351		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	61927	62277	-	AHD17388.1			membrane protein			THEMA_00340	351	116	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	62270	62776	-							THEMA_00345	507		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	62270	62776	-	AHD17389.1			hypothetical protein			THEMA_00345	507	168	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	62778	63659	-							THEMA_00350	882		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	62778	63659	-	AHD17390.1			FAD synthetase			THEMA_00350	882	293	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	63665	64594	-							THEMA_00355	930		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	63665	64594	-	AHD17391.1			tRNA pseudouridine synthase B			THEMA_00355	930	309	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	64591	64986	-							THEMA_00360	396		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	64591	64986	-	AHD17392.1			ribosome-binding factor A			THEMA_00360	396	131	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	64999	65856	-							THEMA_00365	858		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	64999	65856	-	AHD17393.1			phosphodiesterase			THEMA_00365	858	285	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	65825	67294	-							THEMA_00370	1470		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	65825	67294	-	AHD17394.1			ATPase			THEMA_00370	1470	489	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	67302	68309	-							THEMA_00375	1008		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	67302	68309	-	AHD17395.1			translation factor Sua5			THEMA_00375	1008	335	
gene	tRNA	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	68363	68449	-							THEMA_00380	87		
tRNA		GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	68363	68449	-				tRNA-Leu			THEMA_00380	87		anticodon=CAA
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	68578	69594	+							THEMA_00385	1017		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	68578	69594	+	AHD17396.1			HrcA family transcriptional regulator			THEMA_00385	1017	338	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	69599	70117	+							THEMA_00390	519		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	69599	70117	+	AHD17397.1			molecular chaperone GrpE			THEMA_00390	519	172	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	70124	71233	+							THEMA_00395	1110		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	70124	71233	+	AHD17398.1			molecular chaperone DnaJ			THEMA_00395	1110	369	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	71230	72321	-							THEMA_00400	1092		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	71230	72321	-	AHD17399.1			ribosome biogenesis GTPase YqeH			THEMA_00400	1092	363	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	72333	73229	-					era		THEMA_00405	897		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	72333	73229	-	AHD17400.1			GTPase Era	era		THEMA_00405	897	298	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	73225	73623	-							THEMA_00410	399		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	73225	73623	-	AHD17401.1			cytidine deaminase			THEMA_00410	399	132	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	73562	74929	-							THEMA_00415	1368		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	73562	74929	-	AHD17402.1			hemolysin			THEMA_00415	1368	455	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	74946	75401	-							THEMA_00420	456		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	74946	75401	-	AHD17403.1			50S rRNA methyltransferase			THEMA_00420	456	151	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	75398	76312	-							THEMA_00425	915		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	75398	76312	-	AHD17404.1			glutamate formiminotransferase			THEMA_00425	915	304	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	76309	77070	-							THEMA_00430	762		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	76309	77070	-	AHD17405.1			chemotaxis protein CheY			THEMA_00430	762	253	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	77108	78478	-							THEMA_00435	1371		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	77108	78478	-	AHD17406.1			hypothetical protein			THEMA_00435	1371	456	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	78495	79130	-							THEMA_00440	636		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	78495	79130	-	AHD17407.1			hypothetical protein			THEMA_00440	636	211	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	79179	80201	-							THEMA_00445	1023		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	79179	80201	-	AHD17408.1			cell cycle protein			THEMA_00445	1023	340	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	80256	81461	-							THEMA_00450	1206		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	80256	81461	-	AHD17409.1			hypothetical protein			THEMA_00450	1206	401	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	81458	83158	-							THEMA_00455	1701		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	81458	83158	-	AHD17410.1			type II secretory protein GspE			THEMA_00455	1701	566	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	83158	84213	-							THEMA_00460	1056		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	83158	84213	-	AHD17411.1			cell division protein FtsZ			THEMA_00460	1056	351	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	84230	85489	-							THEMA_00465	1260		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	84230	85489	-	AHD17412.1			cell division protein FtsA			THEMA_00465	1260	419	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	85482	86036	-							THEMA_00470	555		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	85482	86036	-	AHD17413.1			hypothetical protein			THEMA_00470	555	184	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	86039	87949	-					gyrB		THEMA_00475	1911		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	86039	87949	-	AHD17414.1			DNA gyrase subunit B	gyrB		THEMA_00475	1911	636	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	87930	88235	-							THEMA_00480	306		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	87930	88235	-	AHD17415.1			Zn-ribbon-containing protein			THEMA_00480	306	101	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	88232	89053	-							THEMA_00485	822		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	88232	89053	-	AHD17416.1			branched-chain amino acid aminotransferase			THEMA_00485	822	273	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	89013	90317	-							THEMA_00490	1305		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	89013	90317	-	AHD17417.1			radical SAM protein			THEMA_00490	1305	434	
gene	protein_coding	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	90314	90766	-							THEMA_00495	453		
CDS	with_protein	GCA_000230655.3	Primary Assembly	chromosome		CP007013.1	90314	90766	-	AHD17418.1			hypothetical protein			THEMA_00495	453	150	
